section=things
level	type	x	y	width	height	pipeHeight	contents	hidden	transport	entrance	pattern	
1-1-0	Location	0	0	0	0					1-1-L0		
1-1-0	Pattern	0	0	5	0						BackRegular	
1-1-0	Floor	0	0	69	0							
1-1-0	Block	128	32	0	0							
1-1-0	Brick	160	32	0	0							
1-1-0	Block	168	32	0	0		Mushroom					
1-1-0	Goomba	176	8	0	0							
1-1-0	Brick	176	32	0	0							
1-1-0	Block	176	64	0	0							
1-1-0	Block	184	32	0	0							
1-1-0	Brick	192	32	0	0							
1-1-0	Pipe	224	0	0	2	16						
1-1-0	Pipe	304	0	0	3	24						
1-1-0	Goomba	340	8	0	0							
1-1-0	Pipe	368	0	0	4	32						
1-1-0	Goomba	412	8	0	0							
1-1-0	Goomba	422	8	0	0							
1-1-0	Pipe	456	0	0	4	32			1-1-L2			
1-1-0	Block	512	40	0	0		Mushroom1Up	true				
1-1-0	Floor	568	0	15	0							
1-1-0	Brick	616	32	0	0							
1-1-0	Block	624	32	0	0		Mushroom					
1-1-0	Brick	632	32	0	0							
1-1-0	Brick	640	32	0	0							
1-1-0	Goomba	640	72	0	0							
1-1-0	Brick	648	64	0	0							
1-1-0	Brick	656	64	0	0							
1-1-0	Goomba	656	72	0	0							
1-1-0	Brick	664	64	0	0							
1-1-0	Brick	672	64	0	0							
1-1-0	Brick	680	64	0	0							
1-1-0	Brick	688	64	0	0							
1-1-0	Brick	696	64	0	0							
1-1-0	Floor	712	0	64	0							
1-1-0	Brick	728	64	0	0							
1-1-0	Brick	736	64	0	0							
1-1-0	Brick	744	64	0	0							
1-1-0	Brick	752	32	0	0		Coin					
1-1-0	Block	752	64	0	0							
1-1-0	Goomba	776	8	0	0							
1-1-0	Goomba	788	8	0	0							
1-1-0	Brick	800	32	0	0							
1-1-0	Brick	808	32	0	0		Star					
1-1-0	Block	848	32	0	0							
1-1-0	Koopa	856	12	0	0							
1-1-0	Block	872	32	0	0							
1-1-0	Block	872	64	0	0		Mushroom					
1-1-0	Block	896	32	0	0							
1-1-0	Goomba	912	8	0	0							
1-1-0	Goomba	924	8	0	0							
1-1-0	Brick	944	32	0	0							
1-1-0	Brick	968	64	0	0							
1-1-0	Brick	976	64	0	0							
1-1-0	Brick	984	64	0	0							
1-1-0	Goomba	992	8	0	0							
1-1-0	Goomba	1008	8	0	0							
1-1-0	Goomba	1024	8	0	0							
1-1-0	Goomba	1040	8	0	0							
1-1-0	Brick	1024	64	0	0							
1-1-0	Brick	1032	32	0	0							
1-1-0	Block	1032	64	0	0							
1-1-0	Brick	1040	32	0	0							
1-1-0	Block	1040	64	0	0							
1-1-0	Brick	1048	64	0	0							
1-1-0	Stone	1072	8	0	0							
1-1-0	Stone	1080	16	0	2							
1-1-0	Stone	1088	24	0	3							
1-1-0	Stone	1096	32	0	4							
1-1-0	Stone	1120	32	0	4							
1-1-0	Stone	1128	24	0	3							
1-1-0	Stone	1136	16	0	2							
1-1-0	Stone	1144	8	0	0							
1-1-0	Stone	1184	8	0	0							
1-1-0	Stone	1192	16	0	2							
1-1-0	Stone	1200	24	0	3							
1-1-0	Stone	1208	32	0	4							
1-1-0	Stone	1216	32	0	4							
1-1-0	Floor	1240	0	82	0							
1-1-0	Stone	1240	32	0	4							
1-1-0	Stone	1248	24	0	3							
1-1-0	Stone	1256	16	0	2							
1-1-0	Stone	1264	8	0	0							
1-1-0	Pipe	1304	0	0	2	16				1-1-L1		
1-1-0	Brick	1344	32	0	0							
1-1-0	Brick	1352	32	0	0							
1-1-0	Block	1360	32	0	0							
1-1-0	Brick	1368	32	0	0							
1-1-0	Goomba	1392	8	0	0							
1-1-0	Goomba	1404	8	0	0							
1-1-0	Pipe	1432	0	0	2	16						
1-1-0	Stone	1448	8	0	0							
1-1-0	Stone	1456	16	0	2							
1-1-0	Stone	1464	24	0	3							
1-1-0	Stone	1472	32	0	4							
1-1-0	Stone	1480	40	0	5							
1-1-0	Stone	1488	48	0	6							
1-1-0	Stone	1496	56	0	7							
1-1-0	Stone	1504	64	2	8							
1-1-0	Pattern	1584	0	0	0				1-2-0		SceneryCastleOutside	
1-1-1	Location	0	0	0	0					1-1-L2		
1-1-1	Ceiling	32	0	7	0							
1-1-1	Floor	0	0	17	0							
1-1-1	Brick	0	8	0	0							
1-1-1	Brick	0	16	0	0							
1-1-1	Brick	0	24	0	0							
1-1-1	Brick	0	32	0	0							
1-1-1	Brick	0	40	0	0							
1-1-1	Brick	0	48	0	0							
1-1-1	Brick	0	56	0	0							
1-1-1	Brick	0	64	0	0							
1-1-1	Brick	0	72	0	0							
1-1-1	Brick	0	80	0	0							
1-1-1	Brick	0	88	0	0							
1-1-1	Brick	32	8	0	0							
1-1-1	Brick	32	16	0	0							
1-1-1	Brick	32	24	0	0							
1-1-1	Brick	40	8	0	0							
1-1-1	Brick	40	16	0	0							
1-1-1	Brick	40	24	0	0							
1-1-1	Brick	48	8	0	0							
1-1-1	Brick	48	16	0	0							
1-1-1	Brick	48	24	0	0							
1-1-1	Brick	56	8	0	0							
1-1-1	Brick	56	16	0	0							
1-1-1	Brick	56	24	0	0							
1-1-1	Brick	64	8	0	0							
1-1-1	Brick	64	16	0	0							
1-1-1	Brick	64	24	0	0							
1-1-1	Brick	72	8	0	0							
1-1-1	Brick	72	16	0	0							
1-1-1	Brick	72	24	0	0							
1-1-1	Brick	80	8	0	0							
1-1-1	Brick	80	16	0	0							
1-1-1	Brick	80	24	0	0							
1-1-1	Coin	33	31	0	0							
1-1-1	Coin	33	47	0	0							
1-1-1	Coin	41	31	0	0							
1-1-1	Coin	41	47	0	0							
1-1-1	Coin	49	31	0	0							
1-1-1	Coin	49	47	0	0							
1-1-1	Coin	57	31	0	0							
